CFIHOS unique code,coding source code,CFIHOS code equivalent value,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-20000021,POSC CAESAR,RDS2226732,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,21,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000022,POSC CAESAR,RDS2226735,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,22,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000023,POSC CAESAR,RDS2226738,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,23,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000024,POSC CAESAR,RDS2224671,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,24,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000025,POSC CAESAR,RDS2227272,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,25,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000026,POSC CAESAR,RDS2227278,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,26,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000027,POSC CAESAR,RDS2227282,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,27,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000028,POSC CAESAR,RDS2226745,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,28,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000029,POSC CAESAR,RDS2227268,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,29,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000030,POSC CAESAR,RDS2227292,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,30,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000031,POSC CAESAR,RDS2226758,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,31,source_reference_record,source_reference_record_unreviewed
CFIHOS-20000032,POSC CAESAR,RDS2226762,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE CFIHOS object equivalent mapping v2.0.csv,32,source_reference_record,source_reference_record_unreviewed
